tenor,rate
GS30,10.12
GS30,10.6
GS30,12.13
GS30,12.34
GS30,11.4
GS30,10.36
GS30,9.81
GS30,10.24
GS30,11
GS30,11.34
GS30,11.59
GS30,12.37
GS30,12.4
GS30,12.14
GS30,12.8
GS30,12.69
GS30,13.2
GS30,13.6
GS30,12.96
GS30,13.59
GS30,14.17
GS30,14.67
GS30,14.68
GS30,13.35
GS30,13.45
GS30,14.22
GS30,14.22
GS30,13.53
GS30,13.37
GS30,13.24
GS30,13.92
GS30,13.55
GS30,12.77
GS30,12.07
GS30,11.17
GS30,10.54
GS30,10.54
GS30,10.63
GS30,10.88
GS30,10.63
GS30,10.48
GS30,10.53
GS30,10.93
GS30,11.4
GS30,11.82
GS30,11.63
GS30,11.58
GS30,11.75
GS30,11.88
GS30,11.75
GS30,11.95
GS30,12.38
GS30,12.65
GS30,13.43
GS30,13.44
GS30,13.21
GS30,12.54
GS30,12.29
GS30,11.98
GS30,11.56
GS30,11.52
GS30,11.45
GS30,11.47
GS30,11.81
GS30,11.47
GS30,11.05
GS30,10.45
GS30,10.5
GS30,10.56
GS30,10.61
GS30,10.5
GS30,10.06
GS30,9.54
GS30,9.4
GS30,8.93
GS30,7.96
GS30,7.39
GS30,7.52
GS30,7.57
GS30,7.27
GS30,7.33
GS30,7.62
GS30,7.7
GS30,7.52
GS30,7.37
GS30,7.39
GS30,7.54
GS30,7.55
GS30,8.25
GS30,8.78
GS30,8.57
GS30,8.64
GS30,8.97
GS30,9.59
GS30,9.61
GS30,8.95
GS30,9.12
GS30,8.83
GS30,8.43
GS30,8.63
GS30,8.95
GS30,9.23
GS30,9
GS30,9.14
GS30,9.32
GS30,9.06
GS30,8.89
GS30,9.02
GS30,9.01
GS30,8.93
GS30,9.01
GS30,9.17
GS30,9.03
GS30,8.83
GS30,8.27
GS30,8.08
GS30,8.12
GS30,8.15
GS30,8
GS30,7.9
GS30,7.9
GS30,8.26
GS30,8.5
GS30,8.56
GS30,8.76
GS30,8.73
GS30,8.46
GS30,8.5
GS30,8.86
GS30,9.03
GS30,8.86
GS30,8.54
GS30,8.24
GS30,8.27
GS30,8.03
GS30,8.29
GS30,8.21
GS30,8.27
GS30,8.47
GS30,8.45
GS30,8.14
GS30,7.95
GS30,7.93
GS30,7.92
GS30,7.7
GS30,7.58
GS30,7.85
GS30,7.97
GS30,7.96
GS30,7.89
GS30,7.84
GS30,7.6
GS30,7.39
GS30,7.34
GS30,7.53
GS30,7.61
GS30,7.44
GS30,7.34
GS30,7.09
GS30,6.82
GS30,6.85
GS30,6.92
GS30,6.81
GS30,6.63
GS30,6.32
GS30,6
GS30,5.94
GS30,6.21
GS30,6.25
GS30,6.29
GS30,6.49
GS30,6.91
GS30,7.27
GS30,7.41
GS30,7.4
GS30,7.58
GS30,7.49
GS30,7.71
GS30,7.94
GS30,8.08
GS30,7.87
GS30,7.85
GS30,7.61
GS30,7.45
GS30,7.36
GS30,6.95
GS30,6.57
GS30,6.72
GS30,6.86
GS30,6.55
GS30,6.37
GS30,6.26
GS30,6.06
GS30,6.05
GS30,6.24
GS30,6.6
GS30,6.79
GS30,6.93
GS30,7.06
GS30,7.03
GS30,6.84
GS30,7.03
GS30,6.81
GS30,6.48
GS30,6.55
GS30,6.83
GS30,6.69
GS30,6.93
GS30,7.09
GS30,6.94
GS30,6.77
GS30,6.51
GS30,6.58
GS30,6.5
GS30,6.33
GS30,6.11
GS30,5.99
GS30,5.81
GS30,5.89
GS30,5.95
GS30,5.92
GS30,5.93
GS30,5.7
GS30,5.68
GS30,5.54
GS30,5.2
GS30,5.01
GS30,5.25
GS30,5.06
GS30,5.16
GS30,5.37
GS30,5.58
GS30,5.55
GS30,5.81
GS30,6.04
GS30,5.98
GS30,6.07
GS30,6.07
GS30,6.26
GS30,6.15
GS30,6.35
GS30,6.63
GS30,6.23
GS30,6.05
GS30,5.85
GS30,6.15
GS30,5.93
GS30,5.85
GS30,5.72
GS30,5.83
GS30,5.8
GS30,5.78
GS30,5.49
GS30,5.54
GS30,5.45
GS30,5.34
GS30,5.65
GS30,5.78
GS30,5.67
GS30,5.61
GS30,5.48
GS30,5.48
GS30,5.32
GS30,5.12
GS30,5.48
GS30,5.45
GS30,5.4
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,NA
GS30,4.54
GS30,4.73
GS30,5.06
GS30,5.2
GS30,5.15
GS30,5.13
GS30,5
GS30,4.85
GS30,4.85
GS30,4.69
GS30,4.68
GS30,4.85
GS30,4.82
GS30,4.72
GS30,4.87
GS30,4.9
GS30,5.2
GS30,5.11
GS30,4.93
GS30,4.79
GS30,4.77
GS30,4.52
GS30,4.53
GS30,4.33
GS30,4.52
GS30,4.39
GS30,4.44
GS30,4.6
GS30,4.69
GS30,4.57
GS30,4.5
GS30,4.27
GS30,4.17
GS30,4
GS30,2.87
GS30,3.13
GS30,3.59
GS30,3.64
GS30,3.76
GS30,4.23
GS30,4.52
GS30,4.41
GS30,4.37
GS30,4.19
GS30,4.19
GS30,4.31
GS30,4.49
GS30,4.6
GS30,4.62
GS30,4.64
GS30,4.69
GS30,4.29
GS30,4.13
GS30,3.99
GS30,3.8
GS30,3.77
GS30,3.87
GS30,4.19
GS30,4.42
GS30,4.52
GS30,4.65
GS30,4.51
GS30,4.5
GS30,4.29
GS30,4.23
GS30,4.27
GS30,3.65
GS30,3.18
GS30,3.13
GS30,3.02
GS30,2.98
GS30,3.03
GS30,3.11
GS30,3.28
GS30,3.18
GS30,2.93
GS30,2.7
GS30,2.59
GS30,2.77
GS30,2.88
GS30,2.9
GS30,2.8
GS30,2.88
GS30,3.08
GS30,3.17
GS30,3.16
GS30,2.93
GS30,3.11
GS30,3.4
GS30,3.61
GS30,3.76
GS30,3.79
GS30,3.68
GS30,3.8
GS30,3.89
GS30,3.77
GS30,3.66
GS30,3.62
GS30,3.52
GS30,3.39
GS30,3.42
GS30,3.33
GS30,3.2
GS30,3.26
GS30,3.04
GS30,3.04
GS30,2.83
GS30,2.46
GS30,2.57
GS30,2.63
GS30,2.59
GS30,2.96
GS30,3.11
GS30,3.07
GS30,2.86
GS30,2.95
GS30,2.89
GS30,3.03
GS30,2.97
GS30,2.86
GS30,2.62
GS30,2.68
GS30,2.62
GS30,2.63
GS30,2.45
GS30,2.23
GS30,2.26
GS30,2.35
GS30,2.5
GS30,2.86
UNRATE,7.6
UNRATE,7.4
UNRATE,7.2
UNRATE,7
UNRATE,7.2
UNRATE,6.9
UNRATE,7
UNRATE,6.8
UNRATE,6.8
UNRATE,6.8
UNRATE,6.4
UNRATE,6.4
UNRATE,6.3
UNRATE,6.3
UNRATE,6.1
UNRATE,6
UNRATE,5.9
UNRATE,6.2
UNRATE,5.9
UNRATE,6
UNRATE,5.8
UNRATE,5.9
UNRATE,6
UNRATE,5.9
UNRATE,5.9
UNRATE,5.8
UNRATE,5.8
UNRATE,5.6
UNRATE,5.7
UNRATE,5.7
UNRATE,6
UNRATE,5.9
UNRATE,6
UNRATE,5.9
UNRATE,6
UNRATE,6.3
UNRATE,6.3
UNRATE,6.3
UNRATE,6.9
UNRATE,7.5
UNRATE,7.6
UNRATE,7.8
UNRATE,7.7
UNRATE,7.5
UNRATE,7.5
UNRATE,7.5
UNRATE,7.2
UNRATE,7.5
UNRATE,7.4
UNRATE,7.4
UNRATE,7.2
UNRATE,7.5
UNRATE,7.5
UNRATE,7.2
UNRATE,7.4
UNRATE,7.6
UNRATE,7.9
UNRATE,8.3
UNRATE,8.5
UNRATE,8.6
UNRATE,8.9
UNRATE,9
UNRATE,9.3
UNRATE,9.4
UNRATE,9.6
UNRATE,9.8
UNRATE,9.8
UNRATE,10.1
UNRATE,10.4
UNRATE,10.8
UNRATE,10.8
UNRATE,10.4
UNRATE,10.4
UNRATE,10.3
UNRATE,10.2
UNRATE,10.1
UNRATE,10.1
UNRATE,9.4
UNRATE,9.5
UNRATE,9.2
UNRATE,8.8
UNRATE,8.5
UNRATE,8.3
UNRATE,8
UNRATE,7.8
UNRATE,7.8
UNRATE,7.7
UNRATE,7.4
UNRATE,7.2
UNRATE,7.5
UNRATE,7.5
UNRATE,7.3
UNRATE,7.4
UNRATE,7.2
UNRATE,7.3
UNRATE,7.3
UNRATE,7.2
UNRATE,7.2
UNRATE,7.3
UNRATE,7.2
UNRATE,7.4
UNRATE,7.4
UNRATE,7.1
UNRATE,7.1
UNRATE,7.1
UNRATE,7
UNRATE,7
UNRATE,6.7
UNRATE,7.2
UNRATE,7.2
UNRATE,7.1
UNRATE,7.2
UNRATE,7.2
UNRATE,7
UNRATE,6.9
UNRATE,7
UNRATE,7
UNRATE,6.9
UNRATE,6.6
UNRATE,6.6
UNRATE,6.6
UNRATE,6.6
UNRATE,6.3
UNRATE,6.3
UNRATE,6.2
UNRATE,6.1
UNRATE,6
UNRATE,5.9
UNRATE,6
UNRATE,5.8
UNRATE,5.7
UNRATE,5.7
UNRATE,5.7
UNRATE,5.7
UNRATE,5.4
UNRATE,5.6
UNRATE,5.4
UNRATE,5.4
UNRATE,5.6
UNRATE,5.4
UNRATE,5.4
UNRATE,5.3
UNRATE,5.3
UNRATE,5.4
UNRATE,5.2
UNRATE,5
UNRATE,5.2
UNRATE,5.2
UNRATE,5.3
UNRATE,5.2
UNRATE,5.2
UNRATE,5.3
UNRATE,5.3
UNRATE,5.4
UNRATE,5.4
UNRATE,5.4
UNRATE,5.3
UNRATE,5.2
UNRATE,5.4
UNRATE,5.4
UNRATE,5.2
UNRATE,5.5
UNRATE,5.7
UNRATE,5.9
UNRATE,5.9
UNRATE,6.2
UNRATE,6.3
UNRATE,6.4
UNRATE,6.6
UNRATE,6.8
UNRATE,6.7
UNRATE,6.9
UNRATE,6.9
UNRATE,6.8
UNRATE,6.9
UNRATE,6.9
UNRATE,7
UNRATE,7
UNRATE,7.3
UNRATE,7.3
UNRATE,7.4
UNRATE,7.4
UNRATE,7.4
UNRATE,7.6
UNRATE,7.8
UNRATE,7.7
UNRATE,7.6
UNRATE,7.6
UNRATE,7.3
UNRATE,7.4
UNRATE,7.4
UNRATE,7.3
UNRATE,7.1
UNRATE,7
UNRATE,7.1
UNRATE,7.1
UNRATE,7
UNRATE,6.9
UNRATE,6.8
UNRATE,6.7
UNRATE,6.8
UNRATE,6.6
UNRATE,6.5
UNRATE,6.6
UNRATE,6.6
UNRATE,6.5
UNRATE,6.4
UNRATE,6.1
UNRATE,6.1
UNRATE,6.1
UNRATE,6
UNRATE,5.9
UNRATE,5.8
UNRATE,5.6
UNRATE,5.5
UNRATE,5.6
UNRATE,5.4
UNRATE,5.4
UNRATE,5.8
UNRATE,5.6
UNRATE,5.6
UNRATE,5.7
UNRATE,5.7
UNRATE,5.6
UNRATE,5.5
UNRATE,5.6
UNRATE,5.6
UNRATE,5.6
UNRATE,5.5
UNRATE,5.5
UNRATE,5.6
UNRATE,5.6
UNRATE,5.3
UNRATE,5.5
UNRATE,5.1
UNRATE,5.2
UNRATE,5.2
UNRATE,5.4
UNRATE,5.4
UNRATE,5.3
UNRATE,5.2
UNRATE,5.2
UNRATE,5.1
UNRATE,4.9
UNRATE,5
UNRATE,4.9
UNRATE,4.8
UNRATE,4.9
UNRATE,4.7
UNRATE,4.6
UNRATE,4.7
UNRATE,4.6
UNRATE,4.6
UNRATE,4.7
UNRATE,4.3
UNRATE,4.4
UNRATE,4.5
UNRATE,4.5
UNRATE,4.5
UNRATE,4.6
UNRATE,4.5
UNRATE,4.4
UNRATE,4.4
UNRATE,4.3
UNRATE,4.4
UNRATE,4.2
UNRATE,4.3
UNRATE,4.2
UNRATE,4.3
UNRATE,4.3
UNRATE,4.2
UNRATE,4.2
UNRATE,4.1
UNRATE,4.1
UNRATE,4
UNRATE,4
UNRATE,4.1
UNRATE,4
UNRATE,3.8
UNRATE,4
UNRATE,4
UNRATE,4
UNRATE,4.1
UNRATE,3.9
UNRATE,3.9
UNRATE,3.9
UNRATE,3.9
UNRATE,4.2
UNRATE,4.2
UNRATE,4.3
UNRATE,4.4
UNRATE,4.3
UNRATE,4.5
UNRATE,4.6
UNRATE,4.9
UNRATE,5
UNRATE,5.3
UNRATE,5.5
UNRATE,5.7
UNRATE,5.7
UNRATE,5.7
UNRATE,5.7
UNRATE,5.9
UNRATE,5.8
UNRATE,5.8
UNRATE,5.8
UNRATE,5.7
UNRATE,5.7
UNRATE,5.7
UNRATE,5.9
UNRATE,6
UNRATE,5.8
UNRATE,5.9
UNRATE,5.9
UNRATE,6
UNRATE,6.1
UNRATE,6.3
UNRATE,6.2
UNRATE,6.1
UNRATE,6.1
UNRATE,6
UNRATE,5.8
UNRATE,5.7
UNRATE,5.7
UNRATE,5.6
UNRATE,5.8
UNRATE,5.6
UNRATE,5.6
UNRATE,5.6
UNRATE,5.5
UNRATE,5.4
UNRATE,5.4
UNRATE,5.5
UNRATE,5.4
UNRATE,5.4
UNRATE,5.3
UNRATE,5.4
UNRATE,5.2
UNRATE,5.2
UNRATE,5.1
UNRATE,5
UNRATE,5
UNRATE,4.9
UNRATE,5
UNRATE,5
UNRATE,5
UNRATE,4.9
UNRATE,4.7
UNRATE,4.8
UNRATE,4.7
UNRATE,4.7
UNRATE,4.6
UNRATE,4.6
UNRATE,4.7
UNRATE,4.7
UNRATE,4.5
UNRATE,4.4
UNRATE,4.5
UNRATE,4.4
UNRATE,4.6
UNRATE,4.5
UNRATE,4.4
UNRATE,4.5
UNRATE,4.4
UNRATE,4.6
UNRATE,4.7
UNRATE,4.6
UNRATE,4.7
UNRATE,4.7
UNRATE,4.7
UNRATE,5
UNRATE,5
UNRATE,4.9
UNRATE,5.1
UNRATE,5
UNRATE,5.4
UNRATE,5.6
UNRATE,5.8
UNRATE,6.1
UNRATE,6.1
UNRATE,6.5
UNRATE,6.8
UNRATE,7.3
UNRATE,7.8
UNRATE,8.3
UNRATE,8.7
UNRATE,9
UNRATE,9.4
UNRATE,9.5
UNRATE,9.5
UNRATE,9.6
UNRATE,9.8
UNRATE,10
UNRATE,9.9
UNRATE,9.9
UNRATE,9.8
UNRATE,9.8
UNRATE,9.9
UNRATE,9.9
UNRATE,9.6
UNRATE,9.4
UNRATE,9.4
UNRATE,9.5
UNRATE,9.5
UNRATE,9.4
UNRATE,9.8
UNRATE,9.3
UNRATE,9.1
UNRATE,9
UNRATE,9
UNRATE,9.1
UNRATE,9
UNRATE,9.1
UNRATE,9
UNRATE,9
UNRATE,9
UNRATE,8.8
UNRATE,8.6
UNRATE,8.5
UNRATE,8.3
UNRATE,8.3
UNRATE,8.2
UNRATE,8.2
UNRATE,8.2
UNRATE,8.2
UNRATE,8.2
UNRATE,8.1
UNRATE,7.8
UNRATE,7.8
UNRATE,7.7
UNRATE,7.9
UNRATE,8
UNRATE,7.7
UNRATE,7.5
UNRATE,7.6
UNRATE,7.5
UNRATE,7.5
UNRATE,7.3
UNRATE,7.3
UNRATE,7.3
UNRATE,7.2
UNRATE,6.9
UNRATE,6.7
UNRATE,6.6
UNRATE,6.7
UNRATE,6.7
UNRATE,6.2
UNRATE,6.2
UNRATE,6.1
UNRATE,6.2
UNRATE,6.2
UNRATE,6
UNRATE,5.7
UNRATE,5.8
UNRATE,5.6
UNRATE,5.7
UNRATE,5.5
UNRATE,5.5
UNRATE,5.4
UNRATE,5.5
UNRATE,5.3
UNRATE,5.3
UNRATE,5.1
UNRATE,5.1
UNRATE,5
UNRATE,5
UNRATE,5
UNRATE,4.9
UNRATE,4.9
UNRATE,5
UNRATE,5
UNRATE,4.7
UNRATE,4.9
UNRATE,4.9
UNRATE,4.9
UNRATE,5
UNRATE,4.9
UNRATE,4.6
